id,nombre,rubro,marca,proveedor,precio
170,SALCHICHAS TIPO VIENA CON PIEL  - 6 UN,CARNES,PATY VIENA,QUICKFOOD,10.4
171,SHAMPOO FAMILIAR CERAMIDAS+ARGININA - 1 LT,PERFUMERÍA,PLUSBELLE,ALICORP ARGENTINA S.C.A.,15.76
172,"SODA BOTELLA DE PLASTICO - 2,25 LT",BEBIDAS,SIERRA DE LOS PADRES,NUTRECO ALIMENTOS S.A./ BEBIDAS NIGUIL,7.05
173,TAPA DE ASADO  - 1 KG,CARNES,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),42
174,TAPA DE NALGA  - 1 KG,CARNES,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),44
175,TAPA DE TARTA  - 230 GR,ALMACEN,LA SALTEÑA,GENERAL MILLS,5.4
176,TAPA DE TARTA PASCUALINA BAJO SODIO - 400 GR,ALMACEN,MENDÍA,CASAMEN,9.5
177,TAPAS PARA EMPANADAS CRIOLLA - 20 UN,ALMACEN,LA SALTEÑA,GENERAL MILLS,15.1
178,TE COMÚN EN SAQUITOS - 25 UN,ALMACÉN,TARAGÜÍ,ESTABLECIMIENTO LAS MARIAS S.A.,4.6
179,TE COMÚN EN SAQUITOS - 25 UN,ALMACÉN,LA MORENITA,LA VIRGINIA,4.4
180,TOALLAS FEMENINAS NORMAL CON ALAS  - 8 UN,PERFUMERÍA,CALIPSO,ALGODONERA ACONCAGUA SA,4.8
181,TOALLAS FEMENINAS NORMAL CON ALAS COMFORT - 8 UN,PERFUMERÍA,LADY SOFT,PAPELERA DEL PLATA,5.39
182,TOMATE PERITA EN LATA - 400 GR,ALMACÉN,ALCO,ALCO  CANALE ,7
183,TOMATE PERITA EN LATA - 400 GR,ALMACÉN,NOEL,ARCOR,5.35
184,TOMATE REDONDO  - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),10.5
185,TOSTADAS  CLASICAS LIVIANAS - 150 GR,PANIFICADOS,BIMBO,BIMBO DE ARGENTINA S.A.,10.55
186,VINAGRE DE ALCOHOL - 500 ML,ALMACÉN,DOS ANCLAS,CIA.INTRODUCTORA BS.AS.,4.8
187,VINAGRE DE ALCOHOL - 500 ML,ALMACÉN,MENOYO,MENOYO S.A.,6.7
188,VINO COMUN TINTO TETRABRICK - 1 LT,BEBIDAS,FACUNDO,PEÑAFLOR,10.4
189,VINO COMUN TINTO TETRABRICK - 1 LT,BEBIDAS,UVITA,RPB,9.05
190,YERBA MATE CON PALO  - 1 KG,ALMACÉN,AMANDA,LA CACHUERA SA,27
191,YERBA MATE CON PALO BAJO CONTENIDO EN POLVO - 500 GR,ALMACÉN,UNIÓN,ESTABLECIMIENTO LAS MARIAS S.A.,17.75
192,YOGUR DESCREMADO CON MUESLI - 174 GR,LÁCTEOS,SER,DANONE,8
193,ZANAHORIA  - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),6.45
194,ZAPALLO  - 1 KG,VERDULERÍA,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),9
